hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,1.5,0.01,0.05,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,5,1.5,0.01,0.05,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,5,1.5,0.01,0.05,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,5,1.5,0.01,0.1,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,5,1.5,0.01,0.1,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,5,1.5,0.01,0.1,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,5,1.5,0.01,0.2,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,5,1.5,0.01,0.2,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,5,1.5,0.01,0.2,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,5,1.5,0.03,0.01,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,5,1.5,0.03,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,5,1.5,0.03,0.01,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,5,1.5,0.03,0.03,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,5,1.5,0.03,0.03,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.03,0.03,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,5,1.5,0.03,0.05,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,5,1.5,0.03,0.05,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.03,0.05,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,5,1.5,0.03,0.1,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,5,1.5,0.03,0.1,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.03,0.1,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,5,1.5,0.03,0.2,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,5,1.5,0.03,0.2,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.03,0.2,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,5,1.5,0.05,0.01,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,5,1.5,0.05,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,5,1.5,0.05,0.01,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,5,1.5,0.05,0.03,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,5,1.5,0.05,0.03,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.05,0.03,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,5,1.5,0.05,0.05,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,5,1.5,0.05,0.05,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.05,0.05,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,5,1.5,0.05,0.1,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,5,1.5,0.05,0.1,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.05,0.1,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,5,1.5,0.05,0.2,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,5,1.5,0.05,0.2,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.05,0.2,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,5,1.5,0.1,0.01,2022-06-14,0.010000000000000009,0.0048759804960778474,0.0051240195039221614,1,PL
intraday,5,1.5,0.1,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,5,1.5,0.1,0.01,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.1,0.03,2022-06-14,0.030000000000000027,0.0048759804960778474,0.02512401950392218,1,PL
intraday,5,1.5,0.1,0.03,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.1,0.03,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.1,0.05,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.1,0.05,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.1,0.05,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.1,0.1,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.1,0.1,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.1,0.1,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.1,0.2,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.1,0.2,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.1,0.2,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.2,0.01,2022-06-14,0.010000000000000009,0.0048759804960778474,0.0051240195039221614,1,PL
intraday,5,1.5,0.2,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,5,1.5,0.2,0.01,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.2,0.03,2022-06-14,0.030000000000000027,0.0048759804960778474,0.02512401950392218,1,PL
intraday,5,1.5,0.2,0.03,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.2,0.03,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.2,0.05,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.2,0.05,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.2,0.05,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.2,0.1,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.2,0.1,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.2,0.1,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,5,1.5,0.2,0.2,2022-06-14,0.03046218487394947,0.0048759804960778474,0.025586204377871624,1,PL
intraday,5,1.5,0.2,0.2,2023-06-08,-0.0113924050632912,-0.00013954786491765514,-0.011252857198373545,1,PL
intraday,5,1.5,0.2,0.2,2024-03-28,-0.07843137254901955,0.000706526926674611,-0.07913789947569416,1,PL
intraday,15,0.5,0.01,0.01,2022-03-31,-0.010000000000000009,-0.0008603383997705105,-0.009139661600229498,1,PL
intraday,15,0.5,0.01,0.01,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,15,0.5,0.01,0.01,2023-03-29,-0.010000000000000009,-0.0009651315301046903,-0.009034868469895319,1,PL
intraday,15,0.5,0.01,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,15,0.5,0.01,0.01,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,15,0.5,0.01,0.03,2022-03-31,-0.010000000000000009,-0.0008603383997705105,-0.009139661600229498,1,PL
intraday,15,0.5,0.01,0.03,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,15,0.5,0.01,0.03,2023-03-29,-0.010000000000000009,-0.0009651315301046903,-0.009034868469895319,1,PL
intraday,15,0.5,0.01,0.03,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,15,0.5,0.01,0.03,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,15,0.5,0.01,0.05,2022-03-31,-0.010000000000000009,-0.0008603383997705105,-0.009139661600229498,1,PL
intraday,15,0.5,0.01,0.05,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,15,0.5,0.01,0.05,2023-03-29,-0.010000000000000009,-0.0009651315301046903,-0.009034868469895319,1,PL
intraday,15,0.5,0.01,0.05,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,15,0.5,0.01,0.05,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,15,0.5,0.01,0.1,2022-03-31,-0.010000000000000009,-0.0008603383997705105,-0.009139661600229498,1,PL
intraday,15,0.5,0.01,0.1,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,15,0.5,0.01,0.1,2023-03-29,-0.010000000000000009,-0.0009651315301046903,-0.009034868469895319,1,PL
intraday,15,0.5,0.01,0.1,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,15,0.5,0.01,0.1,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,15,0.5,0.01,0.2,2022-03-31,-0.010000000000000009,-0.0008603383997705105,-0.009139661600229498,1,PL
intraday,15,0.5,0.01,0.2,2022-06-14,-0.010000000000000009,0.0048759804960778474,-0.014875980496077856,1,PL
intraday,15,0.5,0.01,0.2,2023-03-29,-0.010000000000000009,-0.0009651315301046903,-0.009034868469895319,1,PL
intraday,15,0.5,0.01,0.2,2023-06-08,-0.010000000000000009,-0.00013954786491765514,-0.009860452135082354,1,PL
intraday,15,0.5,0.01,0.2,2024-03-28,-0.010000000000000009,0.000346104652272583,-0.010346104652272592,1,PL
intraday,15,0.5,0.03,0.01,2022-03-31,-0.030000000000000027,-0.0008603383997705105,-0.029139661600229516,1,PL
intraday,15,0.5,0.03,0.01,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,15,0.5,0.03,0.01,2023-03-29,-0.030000000000000027,-0.0009651315301046903,-0.029034868469895336,1,PL
intraday,15,0.5,0.03,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,15,0.5,0.03,0.01,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,15,0.5,0.03,0.03,2022-03-31,-0.030000000000000027,-0.0008603383997705105,-0.029139661600229516,1,PL
intraday,15,0.5,0.03,0.03,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,15,0.5,0.03,0.03,2023-03-29,-0.030000000000000027,-0.0009651315301046903,-0.029034868469895336,1,PL
intraday,15,0.5,0.03,0.03,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.03,0.03,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,15,0.5,0.03,0.05,2022-03-31,-0.030000000000000027,-0.0008603383997705105,-0.029139661600229516,1,PL
intraday,15,0.5,0.03,0.05,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,15,0.5,0.03,0.05,2023-03-29,-0.030000000000000027,-0.0009651315301046903,-0.029034868469895336,1,PL
intraday,15,0.5,0.03,0.05,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.03,0.05,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,15,0.5,0.03,0.1,2022-03-31,-0.030000000000000027,-0.0008603383997705105,-0.029139661600229516,1,PL
intraday,15,0.5,0.03,0.1,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,15,0.5,0.03,0.1,2023-03-29,-0.030000000000000027,-0.0009651315301046903,-0.029034868469895336,1,PL
intraday,15,0.5,0.03,0.1,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.03,0.1,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,15,0.5,0.03,0.2,2022-03-31,-0.030000000000000027,-0.0008603383997705105,-0.029139661600229516,1,PL
intraday,15,0.5,0.03,0.2,2022-06-14,-0.030000000000000027,0.0048759804960778474,-0.034875980496077874,1,PL
intraday,15,0.5,0.03,0.2,2023-03-29,-0.030000000000000027,-0.0009651315301046903,-0.029034868469895336,1,PL
intraday,15,0.5,0.03,0.2,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.03,0.2,2024-03-28,-0.030000000000000138,0.000346104652272583,-0.03034610465227272,1,PL
intraday,15,0.5,0.05,0.01,2022-03-31,-0.050000000000000044,-0.0008603383997705105,-0.049139661600229534,1,PL
intraday,15,0.5,0.05,0.01,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,15,0.5,0.05,0.01,2023-03-29,-0.050000000000000044,-0.0009651315301046903,-0.049034868469895354,1,PL
intraday,15,0.5,0.05,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,15,0.5,0.05,0.01,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,15,0.5,0.05,0.03,2022-03-31,-0.050000000000000044,-0.0008603383997705105,-0.049139661600229534,1,PL
intraday,15,0.5,0.05,0.03,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,15,0.5,0.05,0.03,2023-03-29,-0.050000000000000044,-0.0009651315301046903,-0.049034868469895354,1,PL
intraday,15,0.5,0.05,0.03,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.05,0.03,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,15,0.5,0.05,0.05,2022-03-31,-0.050000000000000044,-0.0008603383997705105,-0.049139661600229534,1,PL
intraday,15,0.5,0.05,0.05,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,15,0.5,0.05,0.05,2023-03-29,-0.050000000000000044,-0.0009651315301046903,-0.049034868469895354,1,PL
intraday,15,0.5,0.05,0.05,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.05,0.05,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,15,0.5,0.05,0.1,2022-03-31,-0.050000000000000044,-0.0008603383997705105,-0.049139661600229534,1,PL
intraday,15,0.5,0.05,0.1,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,15,0.5,0.05,0.1,2023-03-29,-0.050000000000000044,-0.0009651315301046903,-0.049034868469895354,1,PL
intraday,15,0.5,0.05,0.1,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.05,0.1,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,15,0.5,0.05,0.2,2022-03-31,-0.050000000000000044,-0.0008603383997705105,-0.049139661600229534,1,PL
intraday,15,0.5,0.05,0.2,2022-06-14,-0.050000000000000044,0.0048759804960778474,-0.05487598049607789,1,PL
intraday,15,0.5,0.05,0.2,2023-03-29,-0.050000000000000044,-0.0009651315301046903,-0.049034868469895354,1,PL
intraday,15,0.5,0.05,0.2,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.05,0.2,2024-03-28,-0.04999999999999993,0.000346104652272583,-0.050346104652272516,1,PL
intraday,15,0.5,0.1,0.01,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.1,0.01,2022-06-14,0.010000000000000009,0.0048759804960778474,0.0051240195039221614,1,PL
intraday,15,0.5,0.1,0.01,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.1,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,15,0.5,0.1,0.01,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.1,0.03,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.1,0.03,2022-06-14,0.030000000000000027,0.0048759804960778474,0.02512401950392218,1,PL
intraday,15,0.5,0.1,0.03,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.1,0.03,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.1,0.03,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.1,0.05,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.1,0.05,2022-06-14,0.050000000000000044,0.0048759804960778474,0.0451240195039222,1,PL
intraday,15,0.5,0.1,0.05,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.1,0.05,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.1,0.05,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.1,0.1,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.1,0.1,2022-06-14,0.09999999999999998,0.0048759804960778474,0.09512401950392213,1,PL
intraday,15,0.5,0.1,0.1,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.1,0.1,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.1,0.1,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.1,0.2,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.1,0.2,2022-06-14,0.10294117647058831,0.0048759804960778474,0.09806519597451047,1,PL
intraday,15,0.5,0.1,0.2,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.1,0.2,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.1,0.2,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.2,0.01,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.2,0.01,2022-06-14,0.010000000000000009,0.0048759804960778474,0.0051240195039221614,1,PL
intraday,15,0.5,0.2,0.01,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.2,0.01,2023-06-08,0.010000000000000009,-0.00013954786491765514,0.010139547864917664,1,PL
intraday,15,0.5,0.2,0.01,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.2,0.03,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.2,0.03,2022-06-14,0.030000000000000027,0.0048759804960778474,0.02512401950392218,1,PL
intraday,15,0.5,0.2,0.03,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.2,0.03,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.2,0.03,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.2,0.05,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.2,0.05,2022-06-14,0.050000000000000044,0.0048759804960778474,0.0451240195039222,1,PL
intraday,15,0.5,0.2,0.05,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.2,0.05,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.2,0.05,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.2,0.1,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.2,0.1,2022-06-14,0.09999999999999998,0.0048759804960778474,0.09512401950392213,1,PL
intraday,15,0.5,0.2,0.1,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.2,0.1,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
intraday,15,0.5,0.2,0.1,2024-03-28,-0.05882352941176472,0.00032453276826438504,-0.059148062180029104,1,PL
intraday,15,0.5,0.2,0.2,2022-03-31,-0.03544061302681989,-0.0008603383997705105,-0.03458027462704938,1,PL
intraday,15,0.5,0.2,0.2,2022-06-14,0.10294117647058831,0.0048759804960778474,0.09806519597451047,1,PL
intraday,15,0.5,0.2,0.2,2023-03-29,-0.06910569105691056,-0.0009651315301046903,-0.06814055952680587,1,PL
intraday,15,0.5,0.2,0.2,2023-06-08,-0.012658227848101333,-0.00013954786491765514,-0.012518679983183678,1,PL
